Date,Q,P,T
12.03.1981 00:00:00,11.8,0,4.36
13.03.1981 00:00:00,11.28,0,6.21
14.03.1981 00:00:00,10.77,0,7.78
15.03.1981 00:00:00,10.81,0,9.18
16.03.1981 00:00:00,11.03,1.3,6.68
17.03.1981 00:00:00,10.77,9.5,5.65
18.03.1981 00:00:00,10.77,0,4.16
19.03.1981 00:00:00,10.41,0,1.97
20.03.1981 00:00:00,10.14,0,0.88
21.03.1981 00:00:00,10.14,0,2.51
22.03.1981 00:00:00,10.11,0,4.41
23.03.1981 00:00:00,9.76,0,5.41
24.03.1981 00:00:00,9.78,0,6.35
25.03.1981 00:00:00,9.72,0,7.2
26.03.1981 00:00:00,8.93,0,4.28
27.03.1981 00:00:00,9.49,0,4.31
28.03.1981 00:00:00,9.63,0,3.44
29.03.1981 00:00:00,9.51,0,4.69
30.03.1981 00:00:00,9.49,0,7.81
31.03.1981 00:00:00,9.07,5.1,9.49
01.04.1981 00:00:00,8.9,0,11.87
02.04.1981 00:00:00,8.46,0,11.88
03.04.1981 00:00:00,8.35,3.5,13.02
04.04.1981 00:00:00,8.3,4.4,8.82
05.04.1981 00:00:00,8.3,0,8.68
06.04.1981 00:00:00,7.87,0,11.15
07.04.1981 00:00:00,8.14,0,13.55
08.04.1981 00:00:00,8.03,0,10.9
09.04.1981 00:00:00,8.26,0,9
10.04.1981 00:00:00,8.03,0,8.58
11.04.1981 00:00:00,7.99,0,10.05
12.04.1981 00:00:00,8.13,1.6,6.17
13.04.1981 00:00:00,8.23,0,5.06
14.04.1981 00:00:00,8.23,0,4.48
15.04.1981 00:00:00,7.94,0,6.24
16.04.1981 00:00:00,7.71,0,7.59
17.04.1981 00:00:00,7.29,0,8.28
18.04.1981 00:00:00,7.23,0,8.43
19.04.1981 00:00:00,7.23,0,10.23
20.04.1981 00:00:00,7.14,0,11.62
21.04.1981 00:00:00,7.14,0,13.73
22.04.1981 00:00:00,7.14,0,15.06
23.04.1981 00:00:00,6.64,0,15.61
24.04.1981 00:00:00,5.5,0,13.85
25.04.1981 00:00:00,5.5,0,10.11
26.04.1981 00:00:00,5.5,7.8,7.48
27.04.1981 00:00:00,5.5,1,10.33
28.04.1981 00:00:00,5.5,0,12.7
29.04.1981 00:00:00,5.5,0,14.28
30.04.1981 00:00:00,5.5,3.4,12.73
01.05.1981 00:00:00,5.5,0,10.23
